"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FLUCCS_Des","FLUCCS_Cod","acres","Shape_Leng","Shape_Area","long_name","bay_segment","geometry"
"11","Site-11","Base","None",-82.6417637081618,27.8904076204355,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,6.33197043737,2864.86946577,275821.735538,"Old Tampa Bay","OTB",c(x = 448864.399574478, y = 1293404.13217832)
"12","Site-12","Base","None",-82.5718611274337,27.9662993837124,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,7.68836471175,5993.51834502,334906.506468,"Old Tampa Bay","OTB",c(x = 471573.742113032, y = 1320883.86490772)
"13","Site-13","Base","None",-82.5875789697788,27.8432235974869,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,673.36552227,170160.084989,29331919.4777,"Old Tampa Bay","OTB",c(x = 466285.265083506, y = 1276161.94693634)
"14","Site-14","Base","None",-82.6070125767782,27.8757445793726,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,383.346190281,56429.9136103,16698626.8431,"Old Tampa Bay","OTB",c(x = 460063.52740171, y = 1288015.9492902)
"15","Site-15","Base","None",-82.593127207053,27.9780655842669,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,44.9434892531,9492.29374536,1957746.22284,"Old Tampa Bay","OTB",c(x = 464729.830663057, y = 1325194.41121821)
"16","Site-16","Base","None",-82.5689311822012,27.9589013618895,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,14.3003163756,7410.9112868,622924.273018,"Old Tampa Bay","OTB",c(x = 472507.002765302, y = 1318189.77346366)
"17","Site-17","Base","None",-82.5944384149788,27.8654250118287,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,31.647202494,12240.2158879,1378557.65486,"Old Tampa Bay","OTB",c(x = 464107.656894877, y = 1284244.22126852)
"18","Site-18","Base","None",-82.5447734286483,27.945660754457,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,7.28051139043,6337.48040657,317140.344727,"Old Tampa Bay","OTB",c(x = 480284.174867546, y = 1313340.40886435)
"19","Site-19","Base","None",-82.5914776188841,27.8520992704624,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,673.36552227,170160.084989,29331919.4777,"Old Tampa Bay","OTB",c(x = 465040.917547147, y = 1279394.85666921)
"20","Site-20","Base","None",-82.5496435356749,27.956015667696,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,67.7570721921,16858.1154308,2951509.87072,"Old Tampa Bay","OTB",c(x = 478728.740447097, y = 1317112.13688603)
"21","Site-21","Base","None",-82.5865605712572,27.8328535284542,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,673.36552227,170160.084989,29331919.4777,"Old Tampa Bay","OTB",c(x = 466596.351967596, y = 1272390.21891466)
"22","Site-22","Base","None",-82.6118519892812,27.8801693267253,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,383.346190281,56429.9136103,16698626.8431,"Old Tampa Bay","OTB",c(x = 458508.092981261, y = 1289632.40415663)
"23","Site-23","Base","None",-82.6399074190995,27.9022725424611,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,7.74525191824,5101.58466673,337384.523095,"Old Tampa Bay","OTB",c(x = 449486.573342658, y = 1297714.67848881)
"24","Site-24","Base","None",-82.5564419834489,27.9663625993324,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,70.222103235,14192.6108827,3058887.05245,"Old Tampa Bay","OTB",c(x = 476551.132258469, y = 1320883.86490772)
"25","Site-25","Base","None",-82.5865924510986,27.8387816241653,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,673.36552227,170160.084989,29331919.4777,"Old Tampa Bay","OTB",c(x = 466596.351967596, y = 1274545.4920699)
"26","Site-26","Base","None",-82.6196059927292,27.8890269545778,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,43.5390327355,36776.1933556,1896567.85222,"Old Tampa Bay","OTB",c(x = 456019.397908543, y = 1292865.3138895)
"27","Site-27","Base","None",-82.5960104470047,27.9765710964535,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,44.9434892531,9492.29374536,1957746.22284,"Old Tampa Bay","OTB",c(x = 463796.570010788, y = 1324655.5929294)
"28","Site-28","Base","None",-82.7074984940724,27.928618492208,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,47.0498756187,17286.1570658,2049500.77995,"Old Tampa Bay","OTB",c(x = 427710.491456373, y = 1307413.40768742)
"29","Site-29","Base","None",-82.5376842455983,27.8760323281802,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,228.960113969,55398.9987831,9973542.45864,"Old Tampa Bay","OTB",c(x = 482461.783056175, y = 1288015.9492902)
"30","Site-30","Base","None",-82.5934191162379,27.8550550398992,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,673.36552227,170160.084989,29331919.4777,"Old Tampa Bay","OTB",c(x = 464418.743778967, y = 1280472.49324683)
"31","Site-31","Base","None",-82.541359115619,27.840448520843,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,3.667236737,4532.91987061,159745.471245,"Old Tampa Bay","OTB",c(x = 481217.435519816, y = 1275084.31035871)
"32","Site-32","Base","None",-82.5399042651752,27.935305640324,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,123.205803182,47901.7301746,5366866.25404,"Old Tampa Bay","OTB",c(x = 481839.609287995, y = 1309568.68084267)
"33","Site-33","Base","None",-82.5330802974557,27.919029720166,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,0.9154170467,1733.8344267,39875.726057,"Old Tampa Bay","OTB",c(x = 484017.217476624, y = 1303641.67966574)
"34","Site-34","Base","None",-82.5896645408933,27.8728557541946,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,13.6233535237,5420.57922106,593435.653231,"Old Tampa Bay","OTB",c(x = 465663.091315326, y = 1286938.31271257)
"35","Site-35","Base","None",-82.5558507638142,27.8507653382792,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,1.28528867126,2470.32841426,55987.3984693,"Old Tampa Bay","OTB",c(x = 476551.132258469, y = 1278856.0383804)
"36","Site-36","Base","None",-82.5505996238748,27.9545298087437,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,28.9968394598,20080.8313001,1263107.37929,"Old Tampa Bay","OTB",c(x = 478417.653563008, y = 1316573.31859722)
"37","Site-37","Base","None",-82.6128065719319,27.8786830429974,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,383.346190281,56429.9136103,16698626.8431,"Old Tampa Bay","OTB",c(x = 458197.006097172, y = 1289093.58586782)
"38","Site-38","Base","None",-82.5650920985473,27.9618812473156,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,67.8249372894,25207.1925055,2954466.08618,"Old Tampa Bay","OTB",c(x = 473751.350301661, y = 1319267.41004128)
"39","Site-39","Base","None",-82.6176631678534,27.8860715891825,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,383.346190281,56429.9136103,16698626.8431,"Old Tampa Bay","OTB",c(x = 456641.571676723, y = 1291787.67731188)
"40","Site-40","Base","None",-82.6468343929144,27.9333628519501,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,8.09303239388,2619.49288737,352533.901212,"Old Tampa Bay","OTB",c(x = 447308.965154029, y = 1309029.86255386)
"41","Site-41","Base","None",-82.5347882648929,27.8745615327861,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,228.960113969,55398.9987831,9973542.45864,"Old Tampa Bay","OTB",c(x = 483395.043708444, y = 1287477.13100139)
"42","Site-42","Base","None",-82.5472536660774,27.8641382338192,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,49.1945646541,22227.135664,2142923.80802,"Old Tampa Bay","OTB",c(x = 479350.914215277, y = 1283705.4029797)
"43","Site-43","Base","None",-82.5827105257171,27.8328698345869,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,0.248689568907,532.181699258,10832.9609534,"Old Tampa Bay","OTB",c(x = 467840.699503955, y = 1272390.21891466)
"44","Site-44","Base","None",-82.5703606618336,27.8640446230734,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,75.9276177017,22523.088978,3307420.25675,"Old Tampa Bay","OTB",c(x = 471884.828997122, y = 1283705.4029797)
"45","Site-45","Base","None",-82.591413301869,27.8402431072348,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,673.36552227,170160.084989,29331919.4777,"Old Tampa Bay","OTB",c(x = 465040.917547147, y = 1275084.31035871)
"46","Site-46","Base","None",-82.5854168338088,27.978098612153,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,44.9434892531,9492.29374536,1957746.22284,"Old Tampa Bay","OTB",c(x = 467218.525735775, y = 1325194.41121821)
"47","Site-47","Base","None",-82.5903785342713,27.8269090182082,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,9.66374278485,7244.58087175,420954.319524,"Old Tampa Bay","OTB",c(x = 465352.004431237, y = 1270234.94575941)
"48","Site-48","Base","None",-82.5432990537844,27.843405023364,"None",3352490.45664171,2.98285711155083e-07,"None","Continuous Seagrass",9116,86.6676567509,24427.2024922,3775258.22909,"Old Tampa Bay","OTB",c(x = 480595.261751636, y = 1276161.94693634)
"49","Site-49","Base","None",-82.6037206967511,27.9765374765149,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,31.1299620092,16145.2607818,1356026.56922,"Old Tampa Bay","OTB",c(x = 461307.874938069, y = 1324655.5929294)
"50","Site-50","Base","None",-82.6422190821656,27.967471020931,"None",3352490.45664171,2.98285711155083e-07,"None","Patchy Seagrass",9113,23.5872023847,30360.4303469,1027462.64572,"Old Tampa Bay","OTB",c(x = 448864.399574478, y = 1321422.68319653)
