"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FLUCCSCODE","long_name","bay_segment","geometry"
"22","Site-22","Base","None",-82.6123904698257,27.9868671233466,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 458528.366079991, y = 1328425.06945525)
"23","Site-23","Base","None",-82.5738674931896,27.8765053973492,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 470772.972801312, y = 1288240.95816257)
"24","Site-24","Base","None",-82.5889195052415,27.8933282239991,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 465939.575411317, y = 1294380.19738784)
"25","Site-25","Base","None",-82.5583666438109,27.96560563466,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 475928.596683973, y = 1320611.49225945)
"26","Site-26","Base","None",-82.5438847043528,27.8643458974256,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 480439.767581302, y = 1283776.05690782)
"27","Site-27","Base","None",-82.5926923641268,27.8533989564779,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 464650.669440651, y = 1279869.26830992)
"28","Site-28","Base","None",-82.6197816430129,27.8824471307723,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 455950.55413866, y = 1290473.40878994)
"29","Site-29","Base","None",-82.6384750651062,28.0082396867479,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 450150.477270666, y = 1336238.64665105)
"30","Site-30","Base","None",-82.5452435033059,27.9364911860552,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 480117.541088636, y = 1310007.35177944)
"31","Site-31","Base","None",-82.5527589288223,27.8443539390872,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 477539.729147305, y = 1276520.59236887)
"32","Site-32","Base","None",-82.5955748443083,27.8334299158065,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 463683.989962652, y = 1272613.80377097)
"33","Site-33","Base","None",-82.6628483763865,27.9114137530695,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 442094.814954007, y = 1301077.54926995)
"34","Site-34","Base","None",-82.5612104215033,27.9364270374928,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 474961.917205974, y = 1310007.35177944)
"35","Site-35","Base","None",-82.537062796206,27.8966102705337,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 482695.353029966, y = 1295496.42270152)
"36","Site-36","Base","None",-82.5886042561497,27.834994943605,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 465939.575411317, y = 1273171.91642781)
"37","Site-37","Base","None",-82.6063658021543,27.9807534462675,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 460461.725035989, y = 1326192.61882788)
"38","Site-38","Base","None",-82.6158266813326,27.8886053033018,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 457239.460109325, y = 1292705.85941731)
"39","Site-39","Base","None",-82.5329522468516,27.8720642167939,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 483984.259000632, y = 1286566.62019204)
"40","Site-40","Base","None",-82.6037887612387,27.8763776307478,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 461106.178021321, y = 1288240.95816257)
"41","Site-41","Base","None",-82.6774290108172,28.0095883190761,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 437583.644056679, y = 1336796.75930789)
"42","Site-42","Base","None",-82.5341379328541,27.9104377269351,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 483662.032507965, y = 1300519.43661311)
"43","Site-43","Base","None",-82.6249362830549,27.9115909281992,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 454339.421675328, y = 1301077.54926995)
"44","Site-44","Base","None",-82.5319624000747,27.8736031667339,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 484306.485493298, y = 1287124.73284888)
"45","Site-45","Base","None",-82.5713189674448,27.9609471607582,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 471739.652279311, y = 1318937.15428892)
"46","Site-46","Base","None",-82.5927758732225,27.8687498156009,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 464650.669440651, y = 1285450.39487835)
"47","Site-47","Base","None",-82.5493128955418,27.9518261129833,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 478828.63511797, y = 1315588.47834787)
"48","Site-48","Base","None",-82.5409157531187,27.8689629571704,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 481406.447059301, y = 1285450.39487835)
"49","Site-49","Base","None",-82.5927090606777,27.856469131055,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 464650.669440651, y = 1280985.49362361)
"50","Site-50","Base","None",-82.6098073824151,27.8824916064757,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 459172.819065323, y = 1290473.40878994)
